SESDATE,APPTIME,SLOT,DC
20230829,1740,1,DURHAM
20230815,1835,1,DURHAM
20230818,920,1,DURHAM
20230711,1145,2,DURHAM
20230812,925,1,DURHAM
20230902,1005,1,DURHAM
20230829,1715,1,DURHAM
20230920,1130,2,DURHAM
20230914,1220,1,DURHAM
20230805,1345,1,DURHAM
20230908,950,1,DURHAM
20230816,1320,1,DURHAM
20230704,1145,1,DURHAM
20230909,1555,1,DURHAM
20230826,1440,1,DURHAM
20230809,1800,1,DURHAM
20230816,1740,1,DURHAM
20230912,1145,1,DURHAM
20230902,1125,1,DURHAM
20230809,1605,1,DURHAM
20230809,1105,2,DURHAM
20230805,1100,1,DURHAM
20230714,1410,1,DURHAM
20230801,1800,1,DURHAM
20230817,1635,1,DURHAM
20230708,930,1,DURHAM
20230724,830,1,DURHAM
20230927,1805,1,DURHAM
20230808,1315,1,DURHAM
20230902,1025,1,DURHAM
20230926,1820,1,DURHAM
20230808,1350,1,DURHAM
20230902,1030,1,DURHAM
20230719,1105,1,DURHAM
20230712,1220,1,DURHAM
20230808,1305,1,DURHAM
20230707,905,1,DURHAM
20230711,1300,1,DURHAM
20230720,1200,1,DURHAM
20230811,1045,2,DURHAM
20230909,1500,1,DURHAM
20230831,1250,1,DURHAM
20230803,1730,1,DURHAM
20230808,1600,1,DURHAM
20230927,1610,1,DURHAM
20230811,1550,1,DURHAM
20230804,1530,1,DURHAM
20230919,1700,1,DURHAM
20230915,1030,1,DURHAM
20230726,1105,1,DURHAM
20230719,1305,1,DURHAM
20230825,945,1,DURHAM
20230821,830,1,DURHAM
20230729,845,1,DURHAM
20230725,1640,1,DURHAM
20230826,1010,1,DURHAM
20230915,1325,1,DURHAM
20230725,1735,1,DURHAM
20230801,1830,1,DURHAM
20230916,1515,1,DURHAM
20230707,1330,1,DURHAM
20230908,840,1,DURHAM
20230922,1555,1,DURHAM
20230906,1340,1,DURHAM
20230805,1530,1,DURHAM
20230705,1735,1,DURHAM
20230921,1215,1,DURHAM
20230905,1655,1,DURHAM
20230822,1130,1,DURHAM
20230718,1300,1,DURHAM
20230926,1840,1,DURHAM
20230817,1340,1,DURHAM
20230906,1105,1,DURHAM
20230909,1355,1,DURHAM
20230913,1300,1,DURHAM
20230821,1415,1,DURHAM
20230921,1305,1,DURHAM
20230803,1145,1,DURHAM
20230922,1435,1,DURHAM
20230802,1840,1,DURHAM
20230804,825,1,DURHAM
20230909,1350,1,DURHAM
20230923,1105,1,DURHAM
20230721,1315,1,DURHAM
20230817,1110,1,DURHAM
20230727,1805,2,DURHAM
20230718,1715,1,DURHAM
20230725,1825,1,DURHAM
20230802,1715,1,DURHAM
20230712,1110,1,DURHAM
20230921,1300,1,DURHAM
20230714,820,1,DURHAM
20230927,1610,2,DURHAM
20230705,1530,1,DURHAM
20230919,1740,1,DURHAM
20230722,1435,1,DURHAM
20230714,900,1,DURHAM
20230810,1630,1,DURHAM
20230713,1130,2,DURHAM
20230927,1530,1,DURHAM
20230801,1600,1,DURHAM
20230818,940,1,DURHAM
20230727,1615,1,DURHAM
20230909,1030,1,DURHAM
20230815,1350,1,DURHAM
20230908,1510,1,DURHAM
20230721,1335,1,DURHAM
20230818,1130,1,DURHAM
20230705,1240,2,DURHAM
20230802,1220,1,DURHAM
20230805,820,1,DURHAM
20230905,1120,1,DURHAM
20230712,1125,2,DURHAM
20230912,1640,1,DURHAM
20230909,1505,1,DURHAM
20230718,1145,1,DURHAM
20230725,1140,1,DURHAM
20230708,1040,1,DURHAM
20230719,1100,1,DURHAM
20230722,1555,1,DURHAM
20230728,950,1,DURHAM
20230908,1040,1,DURHAM
20230804,925,2,DURHAM
20230831,1610,1,DURHAM
20230804,1425,1,DURHAM
20230805,1340,1,DURHAM
20230721,905,1,DURHAM
20230906,1830,1,DURHAM
20230713,1845,1,DURHAM
20230919,1630,1,DURHAM
20230822,1245,2,DURHAM
20230902,840,1,DURHAM
20230810,1355,1,DURHAM
20230916,1010,2,DURHAM
20230811,945,1,DURHAM
20230715,830,2,DURHAM
20230812,1125,1,DURHAM
20230727,1625,1,DURHAM
20230804,1300,1,DURHAM
20230929,945,1,DURHAM
20230714,1335,1,DURHAM
20230726,1220,1,DURHAM
20230722,1540,1,DURHAM
20230809,1345,1,DURHAM
20230816,1150,1,DURHAM
20230708,950,1,DURHAM
20230905,1220,1,DURHAM
20230909,1005,1,DURHAM
20230809,1400,1,DURHAM
20230930,1405,1,DURHAM
20230715,1435,1,DURHAM
20230916,1055,1,DURHAM
20230808,1840,1,DURHAM
20230830,1100,1,DURHAM
20230803,1225,1,DURHAM
20230922,945,1,DURHAM
20230810,1305,1,DURHAM
20230722,920,2,DURHAM
20230722,945,1,DURHAM
20230808,1805,1,DURHAM
20230922,1420,1,DURHAM
20230803,1545,1,DURHAM
20230810,1755,1,DURHAM
20230711,1610,1,DURHAM
20230720,1555,1,DURHAM
20230821,1420,1,DURHAM
20230816,1715,1,DURHAM
20230722,1000,1,DURHAM
20230928,1825,1,DURHAM
20230722,950,1,DURHAM
20230822,1345,2,DURHAM
20230707,1455,2,DURHAM
20230921,1340,2,DURHAM
20230726,1830,1,DURHAM
20230803,1410,1,DURHAM
20230801,1530,1,DURHAM
20230831,1750,1,DURHAM
20230802,1735,1,DURHAM
20230916,1100,1,DURHAM
